"""","和　　　　　歌　　　　　山　　　　　県_パルプ・紙・紙加工品工業_季節調整済(※注)","和　　　　　歌　　　　　山　　　　　県_パルプ・紙・紙加工品工業_前年(月･期)比","和　　　　　歌　　　　　山　　　　　県_プラスチック製品工業_季節調整済(※注)","和　　　　　歌　　　　　山　　　　　県_プラスチック製品工業_前年(月･期)比","和　　　　　歌　　　　　山　　　　　県_ゴム製品工業_季節調整済(※注)","和　　　　　歌　　　　　山　　　　　県_ゴム製品工業_前年(月･期)比"
"平成26年10－12月","98.23333333333333","1.3062908215881919","97.60000000000001","-3.6842105263157805","80.13333333333334","0.2920317062995679"
"平成20年1月","95.6","","103.2","","117.5",""
"平成20年2月","100.6","5.2301255230125605","101.6","-1.5503875968992276","123.1","4.7659574468085"
"平成20年3月","100.8","0.19880715705767216","100.7","-0.8858267716535266","132.7","7.798537774167343"
"平成20年4月","100.9","0.09920634920635507","100.4","-0.2979145978152786","115.4","-13.036925395629225"
"平成20年5月","103.0","2.081268582755186","98.8","-1.593625498007981","108.0","-6.412478336221838"
"平成20年6月","96.3","-6.504854368932044","99.2","0.40485829959516195","107.0","-0.9259259259259238"
"平成20年7月","105.4","9.44963655244031","100.5","1.3104838709677438","112.5","5.140186915887853"
"平成20年8月","101.0","-4.1745730550284605","100.4","-0.09950248756219082","107.9","-4.088888888888889"
"平成20年9月","103.5","2.4752475247524757","99.6","-0.7968127490039905","120.2","11.399443929564399"
"平成20年10月","102.1","-1.352657004830931","98.3","-1.3052208835341332","117.8","-1.9966722129783818"
"平成20年11月","103.9","1.7629774730656464","99.5","1.2207527975584895","106.4","-9.677419354838705"
"平成20年12月","99.9","-3.849855630413856","96.9","-2.613065326633162","92.6","-12.969924812030087"
"平成21年1月","98.5","-1.401401401401401","96.0","-0.9287925696594499","82.4","-11.015118790496743"
"平成21年2月","97.6","-0.9137055837563537","96.7","0.7291666666666714","74.8","-9.223300970873794"
"平成21年3月","95.2","-2.45901639344261","96.7","0.0","68.8","-8.021390374331546"
"平成21年4月","97.6","2.5210084033613356","97.1","0.41365046535676697","64.3","-6.54069767441861"
"平成21年5月","95.7","-1.9467213114754003","96.5","-0.6179196704428307","81.7","27.06065318818041"
"平成21年6月","94.4","-1.358411703239284","96.5","0.0","85.1","4.161566707466321"
"平成21年7月","100.0","5.932203389830491","95.5","-1.0362694300518172","89.5","5.170387779083427"
"平成21年8月","97.8","-2.200000000000003","95.0","-0.5235602094240761","76.8","-14.189944134078218"
"平成21年9月","99.6","1.8404907975459963","93.4","-1.6842105263157947","66.8","-13.020833333333343"
"平成21年10月","99.7","0.10040160642570584","94.4","1.070663811563179","78.6","17.664670658682624"
"平成21年11月","97.5","-2.206619859578737","96.5","2.224576271186436","70.0","-10.94147582697201"
"平成21年12月","100.9","3.487179487179489","97.5","1.0362694300518172","78.9","12.714285714285722"
"平成22年1月","101.3","0.3964321110009763","97.8","0.3076923076922924","85.0","7.731305449936627"
"平成22年2月","101.8","0.49358341559724295","99.1","1.3292433537832409","77.7","-8.588235294117638"
"平成22年3月","100.9","-0.8840864440078491","99.0","-0.10090817356204695","86.3","11.068211068211056"
"平成22年4月","101.9","0.9910802775024763","98.9","-0.10101010101008967","109.5","26.88296639629202"
"平成22年5月","98.0","-3.827281648675168","100.3","1.4155712841253774","98.9","-9.680365296803643"
"平成22年6月","101.2","3.265306122448976","100.4","0.0997008973080824","90.4","-8.594539939332662"
"平成22年7月","100.7","-0.4940711462450622","99.8","-0.5976095617530035","95.0","5.088495575221245"
"平成22年8月","98.6","-2.085402184707064","101.2","1.4028056112224618","109.4","15.15789473684211"
"平成22年9月","100.0","1.4198782961460523","101.7","0.4940711462450622","98.8","-9.689213893967093"
"平成22年10月","94.5","-5.5","101.5","-0.19665683382498855","93.6","-5.26315789473685"
"平成22年11月","98.2","3.915343915343911","101.0","-0.49261083743841994","127.8","36.53846153846155"
"平成22年12月","103.5","5.397148676171071","101.5","0.4950495049505008","118.8","-7.042253521126767"
"平成23年1月","104.1","0.5797101449275317","102.1","0.5911330049261068","131.5","10.690235690235681"
"平成23年2月","101.4","-2.5936599423631037","100.9","-1.1753183153770692","113.8","-13.460076045627375"
"平成23年3月","107.8","6.31163708086784","101.5","0.5946481665014716","116.9","2.724077328646743"
"平成23年4月","107.0","-0.742115027829314","101.7","0.19704433497538787","107.9","-7.6988879384088875"
"平成23年5月","108.5","1.4018691588784975","101.2","-0.49164208456244296","110.8","2.6876737720111095"
"平成23年6月","113.8","4.884792626728114","101.9","0.6916996047430928","111.3","0.4512635379061436"
"平成23年7月","107.1","-5.8875219683655615","102.0","0.09813542688910104","107.4","-3.5040431266846355"
"平成23年8月","110.9","3.5480859010270933","100.8","-1.1764705882353041","111.7","4.0037243947858485"
"平成23年9月","109.6","-1.1722272317403224","102.4","1.58730158730161","124.2","11.190689346463742"
"平成23年10月","106.0","-3.2846715328467013","102.4","0.0","114.2","-8.051529790660226"
"平成23年11月","108.4","2.2641509433962312","101.2","-1.171875","98.6","-13.660245183887923"
"平成23年12月","111.2","2.5830258302582934","100.5","-0.6916996047430928","98.4","-0.20283975659228304"
"平成24年1月","106.9","-3.8669064748201407","100.7","0.19900497512436743","96.9","-1.5243902439024453"
"平成24年2月","109.8","2.712815715622071","100.2","-0.49652432969215","119.6","23.426212590299272"
